sample_no;i_alpha;i_beta;v_alpha;v_beta;hall_angle;Battery_Voltage
202;27250;32300;-4457;17944;-119;1112
203;22200;34800;-6742;17290;-113;1128
204;17450;36800;-8859;16439;-108;1135
205;12550;38400;-10655;15336;-104;1148
206;7700;39500;-12062;13738;-99;1136
207;2700;39950;-13309;12116;-95;1130
208;-1800;40150;-14509;10540;-90;1140
209;-6400;39200;-15565;9089;-86;1144
210;-10100;38700;-16419;7355;-82;1156
211;-11450;38500;-16727;5872;-78;1156
212;-14400;37800;-16744;5364;-77;1156
213;-17800;35650;-17041;4188;-74;1168
214;-20700;33700;-17165;2545;-70;1168
215;-22800;32150;-17462;1117;-67;1177
216;-25650;29300;-17182;0;-65;1172
217;-27900;26800;-17067;-1707;-60;1184
218;-28950;25200;-16692;-3081;-57;1184
219;-30750;22550;-16593;-3895;-55;1204
220;-32000;20300;-16001;-5207;-52;1204
221;-33350;17500;-15664;-6283;-49;1224
222;-34400;15700;-14914;-7457;-46;1228
223;-35150;13200;-14931;-8532;-43;1264
224;-35550;10900;-13774;-9226;-40;1232
225;-36300;7850;-13121;-10016;-38;1244
226;-36600;5200;-12198;-11189;-34;1248
227;-37100;1950;-11233;-11938;-31;1253
228;-37400;-1250;-9980;-12806;-28;1256
229;-37200;-4200;-8865;-13680;-24;1280
230;-36850;-7450;-7792;-14580;-21;1296
231;-35350;-9450;-6412;-15176;-17;1312
232;-34450;-12150;-5384;-15686;-14;1320
233;-33500;-12900;-4029;-15835;-11;1329
234;-32200;-15500;-3574;-15964;-9;1320
235;-30800;-18200;-2101;-16061;-6;1328
236;-29150;-20350;-674;-16449;-2;1368
237;-27100;-21950;663;-16208;1;1348
238;-24850;-23700;1895;-15876;4;1348
239;-22050;-24850;3296;-15528;8;1359
240;-18850;-25800;4709;-15127;12;1353
241;-14750;-25850;6263;-14392;16;1360
242;-11300;-27250;8319;-13703;22;1392
243;-6800;-27500;10048;-12425;27;1408
244;-5150;-28750;11705;-10378;34;1407
245;550;-27650;12185;-9690;36;1392
246;5850;-27300;13751;-6754;45;1392
247;10950;-26600;14779;-4111;52;1392
248;16150;-25050;15196;-1584;59;1408
249;21000;-22950;15116;932;66;1396
250;25000;-20150;14617;3150;72;1400
251;28200;-16450;13947;5089;78;1392
252;30250;-12650;12919;6851;83;1392
253;31850;-7950;11955;8344;88;1388
254;32350;-3500;10521;9787;94;1392
255;32600;-1550;9131;10957;99;1392
256;31950;3050;8359;11277;101;1407
257;30900;7100;6776;12267;107;1407
258;29900;10850;5127;12893;112;1416
259;28650;14850;3564;13315;117;1408
260;27150;17850;1859;13262;122;1392
261;25750;21450;535;13039;126;1384
262;23400;23450;-874;13002;-126;1380
263;20600;24850;-2018;12796;-122;1400
264;18000;26050;-3195;12532;-118;1398
265;15500;27100;-4254;12069;-115;1407
266;14750;28300;-5028;11166;-111;1375
267;12150;28750;-5529;11204;-110;1404
268;9500;28850;-6444;10672;-106;1432
269;7450;29500;-7556;10401;-103;1472
270;5450;29950;-7684;9102;-100;1392
271;3000;29600;-8366;8662;-97;1408
272;600;28800;-8962;7859;-94;1424
273;-1800;27900;-9320;6840;-90;1410
274;-4150;26600;-9830;5897;-86;1398
275;-5950;25850;-10313;4856;-82;1424
276;-6750;25800;-10062;3821;-79;1370
277;-8950;23900;-10277;3621;-78;1392
278;-10350;22900;-10793;2443;-73;1448
279;-12000;21650;-10567;1621;-71;1398
280;-13900;19600;-10442;640;-67;1401
281;-15650;17400;-10487;-644;-62;1407
282;-16550;16150;-10471;-2002;-57;1460
283;-17800;14450;-9992;-2635;-54;1414
284;-19400;11700;-9379;-3456;-50;1404
285;-20300;9450;-8806;-4826;-44;1415
286;-20550;7850;-8015;-5676;-39;1416
287;-21050;6400;-7187;-5885;-36;1368
288;-21450;3900;-6930;-6534;-34;1408
289;-20350;3600;-6008;-7209;-29;1424
290;-20200;1900;-5941;-7239;-28;1420
291;-20300;-700;-5157;-7510;-25;1424
292;-19650;-2200;-4134;-8218;-20;1434
293;-18350;-2950;-3392;-8303;-16;1440
294;-17800;-5300;-2920;-8458;-14;1432
295;-17150;-8050;-1719;-8544;-9;1438
296;-15150;-8600;-451;-8605;-3;1423
297;-13500;-9850;297;-8267;1;1408
298;-13150;-11150;1287;-7970;6;1408
299;-10750;-11200;1732;-7871;8;1408
